slettestruts
svartbrysttannvaktel
diamanttannvaktel
stjernetannvaktel
flekktannvaktel
sangvaktel
aztekvaktel
zapotekvaktel
gråbrystvaktel
udzungwahøne
rubehohøne
rusthøne
ildviftehøne
svarthøne
rustkronehøne
sichuanhøne
bhutanhøne
hvitpannehøne
ruststrupehøne
rødnebbhøne
thaihøne
khmerhøne
hainanhøne
taiwanhøne
hvitskjegghøne
laohøne
vietnamhøne
borneohøne
malayhøne
batakhøne
sumatrahøne
javahøne
maskehøne
sherpahøne
blodfasan
juvelfasan
satyrfasan
rubinfasan
ornatfasan
gallafasan
brunstrupehøne
gulstrupehøne
glansfasan
bronsefasan
regnbuefasan
koklassfasan
kalkun
flekkalkun
kragejerpe
jerpe
kinajerpe
salviejerpe
gunnisonjerpe
blåjerpe
sotjerpe
spisshalejerpe
storpræriejerpe
småpræriejerpe
hvithalerype
gælerrype
lirype
fjellrype
amurjerpe
granjerpe
storfugl
svartnebbstorfugl
orrfugl
kaukasusorrfugl
langnebbhøne
dulithøne
fjellrapphøne
rapphøne
stepperapphøne
kobberfasan
kongefasan
mikadofasan
monarkfasan
burmafasan
gullfasan
diamantfasan
fasan
grønnfasan
toppfasan
gråfasan
hvitfasan
sotfasan
blyfasan
edelfasan
fagerfasan
brudefasan
kalifasan
sølvfasan
gulstjertfasan
melonstjertfasan
pompongfasan
sumatrafasan
væpnerfasan
ridderfasan
dragefasan
hantufasan
argusfasan
kongopåfugl
indiapåfugl
smaragdpåfugl
grønnbeinhøne
rødørehøne
sabahhøne
karminhodehøne
rødsporehøne
perlesporehøne
dråpesporehøne
påfuglfasan
smaragdfasan
malayfasan
plettfasan
hainanfasan
filigransfasan
perlefasan
brunfasan
burmabambushøne
kinabambushøne
taiwanbambushøne
paradishane
bankivahane
brokadehane
flammehane
skogfrankolin
krattfrankolin
gråfrankolin
sumpfrankolin
perlefrankolin
halsbåndfrankolin
hindufrankolin
kokifrankolin
hvitstrupefrankolin
isoberiniafrankolin
kragefrankolin
rødvingefrankolin
cuanzafrankolin
lyngfrankolin
kastanjebrystfrankolin
gråvingefrankolin
gressfrankolin
miombofrankolin
zambiafrankolin
tibethøne
altaihøne
kaukasushøne
kurdistanhøne
himalayahøne
sisihøne
beduinhøne
sumpvaktel
kjempevaktel
asiablåvaktel
afrikablåvaktel
paljetthøne
vaktel
engvaktel
harlekinvaktel
regnvaktel
gressvaktel
maorivaktel
berberhøne
araberhøne
rødhøne
berghøne
steinhøne
svartstrupehøne
qinghaihøne
buskvaktel
slettevaktel
hvitstrupevaktel
manipurvaktel
hvitbrynhøne
steinfrankolin
kamerunfrankolin
edelfrankolin
kastanjefrankolin
storfrankolin
djiboutifrankolin
svartbrystfrankolin
ashantifrankolin
angolafrankolin
kikuyufrankolin
brillefrankolin
kappfrankolin
shonafrankolin
bergfrankolin
hvitbrynfrankolin
skyggefrankolin
termittfrankolin
savannefrankolin
dunkjevlefrankolin
svartbeinfrankolin
gulstrupefrankolin
serengetifrankolin
rødstrupefrankolin
argusnattravn
eukalyptusnattravn
salomonnattravn
kanaknattravn
djevelnattravn
papuanattravn
bergnattravn
malaynattravn
hornnattravn
kragenattravn
nacundanatthauk
tussenatthauk
sandnatthauk
trillenatthauk
nordnatthauk
antillnatthauk
dunkelnatthauk
rustbuknatthauk
dryadenatthauk
kastanjenatthauk
sotnattravn
pygménattravn
pauraquenattravn
krattnattravn
marimbanattravn
smånattravn
tepuinattravn
guyananattravn
stumpnattravn
hvitvingenattravn
glennenattravn
chiasmanattravn
svalenattravn
lyrenattravn
hvithalenattravn
flekkhalenattravn
gaffelnattravn
saksenattravn
slepnattravn
haitinattravn
jamaicanattravn
choconattravn
dusknattravn
yucatánnattravn
plettnattravn
dvalenattravn
karolinanattravn
rustnattravn
kubanattravn
hispaniolanattravn
rustnakkenattravn
mayanattravn
silkestjertnattravn
mexiconattravn
eikenattravn
azteknattravn
puertoriconattravn
costaricanattravn
brunnattravn
rødhalsnattravn
indianattravn
orientnattravn
palaunattravn
nattravn
busknattravn
rustkinnattravn
ørkennattravn
sindnattravn
nubianattravn
gullnattravn
yamanattravn
hamrenattravn
floresnattravn
timornattravn
andamannattravn
filippinernattravn
sulawesinattravn
tornnattravn
ildnakkenattravn
fjellnattravn
bengalnattravn
madagaskarnattravn
sumpnattravn
nechisarnattravn
sahelnattravn
stjernenattravn
gressnattravn
kvitrenattravn
fregnenattravn
sundanattravn
klippenattravn
kivunattravn
kongonattravn
langhalenattravn
kilehalenattravn
bantunattravn
vimpelnattravn
dragenattravn
fettfugl
dvergpotu
storpotu
langhalepotu
nordpotu
fløytepotu
andespotu
hvitvingepotu
marmorfroskemunn
kjempefroskemunn
uglefroskemunn
salomonfroskemunn
kurrefroskemunn
dulitfroskemunn
bandolærfroskemunn
stjernefroskemunn
singaleserfroskemunn
burmafroskemunn
sumatrafroskemunn
borneofroskemunn
javafroskemunn
malayfroskemunn
palawanfroskemunn
sundafroskemunn
storuglesvale
prikkuglesvale
molukkuglesvale
vatreuglesvale
berguglesvale
sotuglesvale
nettuglesvale
arfakuglesvale
karimuiuglesvale
australuglesvale
topptreseiler
rustkinntreseiler
dvergtreseiler
mustasjetreseiler
hvitflekkseiler
blekhakeseiler
mestisseiler
sotseiler
saltaseiler
svartseiler
hvitbrystseiler
fosseseiler
tepuiseiler
rødhalsseiler
halsbåndseiler
skjoldseiler
hvitnakkeseiler
storsalangan
dunfotsalangan
grågumpsalangan
fjellryggsalangan
nusatenggarasalangan
dunkelsalangan
glanssalangan
satengsalangan
kinabalusalangan
epidotsalangan
christmassalangan
dvergsalangan
seychellsalangan
maskarenesalangan
indiasalangan
filippinersalangan
halmaherasalangan
bergsalangan
melanesiasalangan
australsalangan
orientsalangan
vulkansalangan
storhodesalangan
nakenbeinsalangan
enigmasalangan
sundasalangan
monsunsalangan
gråsalangan
palausalangan
marianesalangan
karolinesalangan
tahitisalangan
atiusalangan
marquesassalangan
malaysalangan
reirsuppesalangan
papuasalangan
bergseiler
hvitvingeseiler
papuaseiler
madagaskarseiler
saotomeseiler
hinduseiler
baobabseiler
jungelseiler
sølvgumpseiler
hvitbukseiler
stumpseiler
flaggermusseiler
pigghaleseiler
sølvryggseiler
brunryggseiler
glansseiler
grågumpseiler
kolibriseiler
antillseiler
røykseiler
selvasseiler
skorsteinsseiler
brunseiler
guyanaseiler
venezuelaseiler
askeseiler
korthaleseiler
mesaseiler
hvittippseiler
andesseiler
karibseiler
zuliaseiler
moricheseiler
storsvaleseiler
småsvaleseiler
afrikapalmeseiler
gasserpalmeseiler
asiapalmeseiler
alpeseiler
granittseiler
kappverdeseiler
tårnseiler
kanariseiler
klippeseiler
gråseiler
bekseiler
gasserseiler
iboseiler
somaliseiler
namibseiler
gaffelseiler
tibetseiler
shivaseiler
buddhaseiler
khasiseiler
småseiler
husseiler
horusseiler
hvitgumpseiler
kamerunseiler
karmintopas
flammetopas
hvitnakkekolibri
svartkolibri
grønnsigderemitt
ruststjertsigderemitt
sagnebberemitt
bahiaeremitt
bronseeremitt
rustbrysteremitt
båndstjerteremitt
skjeggstubberemitt
soteremitt
caatingaeremitt
smusseremitt
strekstrupeeremitt
småeremitt
tapajoseremitt
dvergeremitt
kanelstrupeeremitt
mørkstrupeeremitt
stripestrupeeremitt
gråstrupeeremitt
rusteremitt
aymaraeremitt
okerbukeremitt
sotkroneeremitt
planaltoeremitt
skjellstrupeeremitt
lysbukeremitt
hvitskjeggeremitt
kårdeeremitt
grønneremitt
sjaketteremitt
inkaeremitt
nåleremitt
floretteremitt
mexicoeremitt
langnebberemitt
stjerteremitt
stornebberemitt
grønnpannelansenebb
blåpannelansenebb
hvithalskilenebb
glitterhalskilenebb
hyasintkolibri
visirkolibri
brunkolibri
talassinkolibri
blåørekolibri
fiolørekolibri
hvitgumpkolibri
heklenebbkolibri
hornkolibri
purpurkronealv
grønnkronealv
guainumbikolibri
tepuikolibri
grønnkolibri
knaggnebbkolibri
rubintopas
ametystmango
grønnstrupemango
kullstrupemango
blåstrupemango
svartbrystmango
antillmango
gyllenmango
smaragdmango
grønnkarib
purpurkarib
gyllensolengel
amestystsolengel
santandersolengel
meridasolengel
blåstjertsolengel
turmalinsolengel
gullstrupesolengel
purpurstrupesolengel
kongesolengel
ildkronekolibri
gullkolibri
grønntrådstjert
topptrådstjert
ringtrådstjert
bronsetrådstjert
hjertetrådstjert
ornatkokette
arguskokette
viftekokette
øredobbkokette
siratkokette
paljettkokette
strålekokette
sommerfuglkokette
påfuglkokette
svarttoppkokette
hvittoppkokette
ecuadorkolibri
perukolibri
flekkolibri
andessylfe
celestsylfe
bredstjertsylfe
kometkolibri
bronsestjertkolibri
gråbukkolibri
andesoreade
punaoreade
vulkanoreade
blåstrupeoreade
grønnhodeoreade
svartbrystoreade
brunoreade
vatrekolibri
svartslepkolibri
grønnslepkolibri
svartryggkolibri
purpurryggkolibri
stolakolibri
okerhjelmkolibri
blåskjegghjelmkolibri
hvitskjegghjelmkolibri
grønnskjegghjelmkolibri
bronsenålkolibri
regnbuenålkolibri
brunkronenålkolibri
olivennålkolibri
koboltnålkolibri
andesmetallstjert
perijametallstjert
grønnmetallstjert
purpurstrupemetallstjert
rødstrupemetallstjert
lavametallstjert
glostrupemetallstjert
skjellmetallstjert
bekmetallstjert
kobberhodedunfot
quechuadunfot
sørgedunfot
svartbrystdunfot
juveldunfot
purpurstrupedunfot
svartbuksedunfot
turkisstrupedunfot
kobberbukdunfot
langstjertdunfot
gullbrystdunfot
blåpannedunfot
regnbuedunfot
hvitbrystdunfot
paradiskolibri
kobbersolkolibri
paljettsolkolibri
spraglesolkolibri
svartsolkolibri
bronseinka
bruninka
svartinka
grønninka
hvitbrystinka
rustbrystinka
fiolettstrupeinka
regnbueinka
hvitstjertinka
oreadeinka
opalvingeinka
perijainka
gyllenbukinka
gullinka
rosenbukinka
fløyelsbrystkolibri
sverdkolibri
safirvingekolibri
okerstjertkolibri
kastanjebrystkolibri
perlemorkolibri
vimpelkolibri
peruvimpelstjert
inkavimpelstjert
rustskjeggbergstjerne
hvitstjertbergstjerne
purpursmekkekolibri
rustgumpkolibri
fløyelsbriljant
rosenstrupebriljant
perubriljant
svartstrupebriljant
rødbrystbriljant
brunbrystbriljant
blåsmykkebriljant
gaffelbriljant
blåpannebriljant
rubinkolibri
kjempekolibri
skjoldkolibri
saksekolibri
purpurissekolibri
talamancakolibri
ildstrupekolibri
langnebbstjernestrupe
bronsestjernestrupe
båndstjernestrupe
blåstjernestrupe
hvitbukjuvel
blåstrupejuvel
amestyststrupejuvel
flekkstrupejuvel
flekkbrystjuvel
purpurstrupejuvel
gråstjertjuvel
hvitstrupejuvel
granatkolibri
ametystkolibri
turkiskinnkolibri
vesperkolibri
stumpstjertkolibri
pinsettkolibri
magentakolibri
purpurkolibri
aricakolibri
smalstjertkolibri
hvitbukkolibri
pygmékolibri
knøttkolibri
santamartakolibri
esmeraldaskolibri
rustskaftkolibri
signalstjertkolibri
guatemalaklypestjert
yucatánklypestjert
luciferkolibri
fagerkolibri
svartstrupekolibri
rubinstrupekolibri
dvergkolibri
bikolibri
bahamaskolibri
inaguakolibri
rødmaskekolibri
ørkenkolibri
kalliopekolibri
rødkolibri
chaparralkolibri
bredstjertkolibri
humlekolibri
vinstrupekolibri
vulkankolibri
gnistkolibri
glokolibri
dunkelkolibri
kubasmaragd
bahamassmaragd
svartbrystsmaragd
puertoricosmaragd
blåhodekolibri
brednebbkolibri
smaragdkolibri
turkiskronekolibri
gullkronesmaragd
cozumelsmaragd
mayasmaragd
hagesmaragd
svartnebbsmaragd
rødnebbsmaragd
blåstjertsmaragd
chiribiquetesmaragd
glansbuksmaragd
kobbersmaragd
smalstjertsmaragd
grønnstjertsmaragd
kortstjertsmaragd
hvitørekolibri
bajakolibri
mexicosabelvinge
mayasabelvinge
rustsabelvinge
smaragdstrupekolibri
fioletthodekolibri
toppkolibri
santamartaflorkrone
tolimaflorkrone
grønnvipekolibri
fiolvipekolibri
gråbrystsabelvinge
kalksteinssabelvinge
espinhacosabelvinge
tepuisabelvinge
hvitstjertsabelvinge
brunstjertsabelvinge
santamartasabelvinge
fiolettsabelvinge
yanomamosabelvinge
naposabelvinge
rødfotdungump
svartfotdungump
glansdryade
gaffeldryade
svaledryade
fiolettkronedryade
snøkronekolibri
kobberkronekolibri
krittstjertkolibri
fiolettkronekolibri
pirrekolibri
mexicodryade
hvitstjertkolibri
blåkronekolibri
stripestjertkolibri
svartbrystkolibri
skjellbrystkolibri
ferskenkolibri
tumbeskolibri
flekkstrupekolibri
ertekolibri
svalekolibri
gråsabelvinge
olivenkolibri
rødnebbstrimmelstjert
svartnebbstrimmelstjert
fioletthettekolibri
zapotekkolibri
kanelsidekolibri
asurkronekolibri
blågumpkolibri
beryllkolibri
blåstjertkolibri
snøbukkolibri
stålbukkolibri
indigokronekolibri
kastanjebukkolibri
grønnbukkolibri
kobberstjertkolibri
kobbergumpkolibri
kanelkolibri
yucatánkolibri
ruststjertkolibri
honduraskolibri
amaziliakolibri
andeskolibri
grønnglanskolibri
gyllenstjertkolibri
tupikolibri
mangrovekolibri
safirstrupekolibri
safirbukkolibri
safirpannekolibri
blåhettekolibri
svartnebbkolibri
lysbukkolibri
hvitstrupekolibri
glitterstrupekolibri
fiolstrupekolibri
rødhakekolibri
gyllenkolibri
hvitbrystkolibri
cuzcokolibri
blåbrystkolibri
yndekolibri
purpurbrystkolibri
mayakolibri
gullstjertkolibri
hvithakekolibri
fiolettbukkolibri
blåstrupesmaragd
kjempeturako
masketurako
gråturako
hvitbukturako
flekkturako
sotturako
purpurkroneturako
regnbueturako
blekkroneturako
hvitøreturako
fioletturako
rødtoppturako
blåvingeturako
kamerunturako
hvithodeturako
angolaturako
fiolettvingeturako
grønnturako
toppturako
natalturako
svartnebbturako
rødnakketurako
blåkroneturako
stortrappe
arabertrappe
koritrappe
maharajatrappe
australtrappe
kragetrappe
steppetrappe
brunhodetrappe
rustnakketrappe
somalitrappe
saheltrappe
savannetrappe
blåtrappe
karootrappe
namibtrappe
pygmétrappe
olivenkronetrappe
bruntopptrappe
rødtopptrappe
svarthalstrappe
hvitskafttrappe
svartbuktrappe
svartgumptrappe
bengaltrappe
hindutrappe
dvergtrappe
guiragjøk
storani
glattnebbani
furenebbani
stripegjøk
fasangjøk
argusgjøk
trostegjøk
storløpegjøk
dvergløpegjøk
rustbukjordgjøk
tapajosjordgjøk
båndjordgjøk
guyanajordgjøk
rødnebbjordgjøk
blekhodesporegjøk
trommesporegjøk
menbekisporegjøk
biaksporegjøk
bambussporegjøk
grønnebbsporegjøk
maskesporegjøk
mindorosporegjøk
malaysporegjøk
brunsporegjøk
okersporegjøk
hvitbuksporegjøk
senegalsporegjøk
blåhodesporegjøk
kobberhalesporegjøk
hvitbrynsporegjøk
busksporegjøk
javasporegjøk
orientsporegjøk
tolosporegjøk
goliatsporegjøk
svartsporegjøk
filippinersporegjøk
bengalsporegjøk
fiolettsporegjøk
iriansporegjøk
kaisporegjøk
fasansporegjøk
andamansporegjøk
borneogjøk
sumatragjøk
korallnebbgjøk
sneglekoa
toppkoa
småkoa
blåkoa
rødkronekoa
olivenkronekoa
rødpannekoa
sakalavakoa
løpekoa
kjempekoa
rødbrystkoa
brunmalkoha
blåmalmgjøk
grønnmalmgjøk
sirkirmalkoha
rødnebbmalkoha
praktnebbmalkoha
kastanjemalkoha
grønnstjertmalkoha
rødmaskemalkoha
brunbukmalkoha
blåbrillemalkoha
svartbukmalkoha
langhalemalkoha
parykkmalkoha
sølvhodemalkoha
brunvingegjøk
skjæregjøk
savannegjøk
jakobinergjøk
alvegjøk
dverggjøk
askegjøk
ekorngjøk
svartbukgjøk
tupigjøk
gulnebbgjøk
perlebrystgjøk
mangrovegjøk
cocogjøk
svartnebbgjøk
gråhettegjøk
brunbukgjøk
brunbrystgjøk
jamaicaøglegjøk
kubaøglegjøk
puertoricoøglegjøk
hispaniolaøglegjøk
hvitbrystgjøk
svarthettegjøk
grønnebbkoel
svartnebbkoel
grånebbkoel
langhalekoel
fikengjøk
beryllgjøk
ametystgjøk
diderikgjøk
grønngjøk
gulstrupegjøk
smaragdgjøk
langnebbgjøk
mulgagjøk
svartøregjøk
rusthodegjøk
bronsegjøk
kragegjøk
pygmégjøk
hvitvingegjøk
blekgjøk
hvitkronegjøk
kastanjebrystgjøk
kilehalegjøk
vatregjøk
klagegjøk
spurvegjøk
sørgegjøk
plystregjøk
krattgjøk
admiraltygjøk
salomongjøk
molukkgjøk
kratthalegjøk
jungelhalegjøk
berghalegjøk
fløyelsdrongogjøk
glansdrongogjøk
satengdrongogjøk
molukkdrongogjøk
skjeggjøk
haukgjøk
mørkgjøk
shikragjøk
hvitnakkegjøk
filippinergjøk
gråhakegjøk
bambusgjøk
svartgjøk
rødbrystgjøk
smågjøk
sulawesigjøk
asiagjøk
madagaskargjøk
afrikagjøk
orientgjøk
taigagjøk
sundagjøk
gjøk
sankthelenagjøk
brunvingemesitt
brunmesitt
krumnebbmesitt
tibetsteppehøne
steppehøne
hvitbuksandhøne
namaquasandhøne
brunbuksandhøne
prikksandhøne
svartbuksandhøne
gulstrupesandhøne
lysbuksandhøne
maskesandhøne
madagaskarsandhøne
stripesandhøne
indiasandhøne
sahelsandhøne
tobeltesandhøne
kalaharisandhøne
klippedue
steindue
snødue
spragledue
etiopiadue
skogdue
morbærdue
somalidue
ringdue
madeiradue
kanaridue
laurbærdue
skiferdue
gulbrilledue
flekkpurpurdue
saotomedue
komordue
sølvhodedue
hvitnakkedue
kragedue
nilgiridue
singaleserdue
blekkronedue
sølvdue
andamandue
mikadodue
bonindue
ryukyudue
hvitstrupedue
dronningdue
praktdue
krittnakkedue
bronsenakkedue
glansnakkedue
trolldue
vandredue
hvitkronedue
antilldue
skjelldue
picazurodue
blåbrilledue
flekkvingedue
bånddue
skjellgrandue
jamaicadue
kajennedue
mayadue
marañondue
hispanioladue
blydue
agatdue
kortnebbdue
skyggedue
umbradue
rodriguesturteldue
rosendue
turteldue
rustvingedue
rosenbukdue
mongolturteldue
jomfrudue
filippinerdue
tyrkerdue
svovelbrilledue
saheldue
elvedue
klagedue
rødøyedue
savannedue
vindue
gråhodedue
perlekragedue
palmedue
tigergjøkdue
rosengjøkdue
rajaampatgjøkdue
sundagjøkdue
engganogjøkdue
mentawaigjøkdue
timorgjøkdue
tanimbargjøkdue
makassargjøkdue
filippinergjøkdue
kanelgjøkdue
andamangjøkdue
rustgjøkdue
flekkgjøkdue
nymfegjøkdue
kjempegjøkdue
bismarckgjøkdue
toppgjøkdue
mefistodue
suladue
sotdue
grønnflekkalvedue
sahelalvedue
blåflekkalvedue
tamburindue
blåhodedue
maskedue
smaragddue
jadedue
hvitpannedue
papuabronsedue
bismarckbronsedue
skogglansdue
krattglansdue
nomadedue
toppdue
spirdue
rypedue
rapphønedue
gladiatordue
wongadue
juvdue
ravinedue
diamantdue
sebradue
billabongdue
nymfedue
skjellryggdue
kaktusdue
marmordue
spurvedue
dvergdue
ørkendue
kaneldue
picuidue
kvekkedue
blåøyedue
grådue
purpurbånddue
bambusdue
støvbadedue
tucumandue
andesdue
gullflekkdue
camposdue
blåkronedue
purpurvakteldue
praktvakteldue
toppvakteldue
rustvakteldue
ametystvakteldue
hvitpannevakteldue
krittpannevakteldue
karibvakteldue
antillvakteldue
dvergvakteldue
krattdue
yungasdue
gråpannedue
blyhettedue
ecuadordue
panamadue
grenadadue
karibdue
gråbrystdue
okerbukdue
tolimadue
veracruzvakteldue
fjellvakteldue
hvitkinnvakteldue
tåkevakteldue
kjempevakteldue
storvakteldue
kanelvakteldue
darienvakteldue
sørgedue
socorrodue
øredue
vestindiadue
galapagosdue
hvitvingedue
lomadue
mankedue
plettdue
sulawesijorddue
gulbrystjorddue
luzonbloddue
mindanaobloddue
mindorobloddue
negrosbloddue
tawitawibloddue
wetarjorddue
hvitbrynjorddue
karolinejorddue
tuamotujorddue
marianejorddue
norfolkjorddue
eremittjorddue
santacruzjorddue
tannajorddue
salomonjorddue
hvitvingejorddue
blåjorddue
palaujorddue
fyrstedue
fasandue
gråbrystkrondue
burgunderkrondue
vinkrondue
påfuglkrondue
dronte
rodriguesdronte
tanndue
småbrundue
storbrundue
tawitawibrundue
mindanaobrundue
mangrovegrønndue
dverggrønndue
palettgrønndue
tobeltegrønndue
gulstrupegrønndue
gråpannegrønndue
ferskenbrystgrønndue
grønnknokegrønndue
filippinergrønndue
burugrønndue
tykknebbgrønndue
gråmaskegrønndue
sumbagrønndue
floresgrønndue
timorgrønndue
goliatgrønndue
kragegrønndue
gulbukgrønndue
gassergrønndue
komorgrønndue
afrikagrønndue
pembagrønndue
kroknebbgrønndue
lansettgrønndue
nålhalegrønndue
spisshalegrønndue
kilehalegrønndue
hvitbukgrønndue
ryukyugrønndue
taiwangrønndue
svartryggfruktdue
ravinefruktdue
sumbafruktdue
rosenfruktdue
flammefruktdue
luzonfruktdue
gullbrystfruktdue
maskefruktdue
jambufruktdue
brunhakefruktdue
sulawesifruktdue
sulafruktdue
svarthakefruktdue
bambusfruktdue
bispefruktdue
rosendråpefruktdue
epålettfruktdue
vanuatufruktdue
gullpannefruktdue
gullbukfruktdue
praktfruktdue
paradisfruktdue
dryadefruktdue
purpurpannefruktdue
kosraefruktdue
palaufruktdue
rarotongafruktdue
marianefruktdue
dronningfruktdue
ugifruktdue
gulbukfruktdue
tahitifruktdue
makateafruktdue
atollfruktdue
småfruktdue
rapafruktdue
hvitkronefruktdue
rødskjeggfruktdue
hendersonfruktdue
diademfruktdue
afroditefruktdue
blåkronefruktdue
smekkefruktdue
eggsmekkefruktdue
sitronbrystfruktdue
rødbrystfruktdue
hvithodefruktdue
jamrefruktdue
karbunkelfruktdue
halmaherafruktdue
vortefruktdue
svartnakkefruktdue
dvergfruktdue
negrosfruktdue
appelsindue
sitrondue
fløyelsfruktdue
sølvbånddue
vorteblådue
blodhaleblådue
brilleblådue
seychellblådue
jadekeiserdue
smaragdkeiserdue
mindorokeiserdue
sulawesikeiserdue
brynjekeiserdue
bronsekeiserdue
vinkeiserdue
nikobarkeiserdue
brillekeiserdue
seramkeiserdue
sølvkeiserdue
knollkeiserdue
mikronesiakeiserdue
makateakeiserdue
nukuhivakeiserdue
rødknoppkeiserdue
svartknoppkeiserdue
biakkeiserdue
rødhalekeiserdue
molukkeiserdue
bismarckkeiserdue
papuakeiserdue
gråkeiserdue
rosenkeiserdue
raggkeiserdue
sulukeiserdue
fijikeiserdue
salomonkeiserdue
vanuatukeiserdue
goliatkeiserdue
storkeiserdue
svartkeiserdue
kragekeiserdue
ringkeiserdue
malabarkeiserdue
fjellkeiserdue
sotryggkeiserdue
timorkeiserdue
